Unix Time,Temperature,Humidity
1636728265.0,36.68,31.38
1636731003.0,30.26,51.88
1636731008.0,30.27,52.05
1636731013.0,30.29,52.43
1636731018.0,30.31,52.86
1636731023.0,30.32,52.63
1636731028.0,30.34,52.27
1636731033.0,30.34,52.14
1636731038.0,30.34,52.16
1636731043.0,30.34,52.02
1636731048.0,30.33,51.96
1636734604.0,27.34,58.89
1636734609.0,27.35,58.90
1636734615.0,27.38,58.85
1636734620.0,27.38,58.91
1636734625.0,27.36,58.99
1636734630.0,27.35,59.04
1636734635.0,27.36,59.03
1636734640.0,27.37,59.02
1636734645.0,27.38,58.97
1636734650.0,27.39,58.91
1636738203.0,25.90,65.07
1636738208.0,25.89,65.11
1636738213.0,25.89,65.10
1636738218.0,25.92,65.04
1636738223.0,25.93,64.98
1636738228.0,25.94,64.95
1636738234.0,25.91,64.95
1636738239.0,25.90,65.03
1636738244.0,25.90,64.75
1636738249.0,25.91,64.32
1636741803.0,25.12,67.76
1636741808.0,25.14,67.67
1636741813.0,25.15,67.58
1636741818.0,25.17,67.53
1636741823.0,25.19,67.54
1636741829.0,25.22,67.49
1636741834.0,25.23,67.45
1636741839.0,25.23,67.46
1636741844.0,25.21,67.57
1636741849.0,25.21,67.58
1636745403.0,25.40,69.43
1636745408.0,25.41,69.37
1636745413.0,25.42,69.34
1636745418.0,25.43,69.34
1636745424.0,25.45,69.26
1636745429.0,25.45,69.24
1636745434.0,25.44,69.28
1636745439.0,25.43,69.31
1636745444.0,25.43,69.30
1636745449.0,25.43,69.26
1636749003.0,25.18,72.50
1636749008.0,25.18,72.48
1636749013.0,25.18,72.46
1636749018.0,25.16,72.32
1636749023.0,25.14,72.17
1636749029.0,25.12,72.18
1636749034.0,25.11,72.36
1636749039.0,25.10,72.43
1636749044.0,25.10,72.44
1636749049.0,25.11,72.30
1636752603.0,24.49,76.00
1636752608.0,24.50,76.02
1636752613.0,24.49,76.05
1636752618.0,24.51,76.04
1636752623.0,24.51,76.09
1636752629.0,24.50,76.12
1636752634.0,24.51,76.12
1636752639.0,24.52,76.07
1636752644.0,24.53,76.02
1636752649.0,24.55,75.94
1636787277.0,27.02,45.56
1636787282.0,27.03,45.55
1636787287.0,27.06,45.54
1636787292.0,27.11,45.51
1636787297.0,27.16,45.44
1636787302.0,27.22,45.34
1636787307.0,27.26,45.29
1636787312.0,27.29,45.28
1636787317.0,27.31,45.25
1636787322.0,27.33,45.24
1636788604.0,27.17,46.82
1636788609.0,27.15,47.11
1636788614.0,27.16,47.25
1636788619.0,27.17,47.50
1636788624.0,27.17,47.81
1636788629.0,27.15,47.47
1636788634.0,27.15,47.43
1636788639.0,27.15,47.59
1636788644.0,27.15,47.73
1636788649.0,27.13,47.73
1636792518.0,28.77,46.84
1636792523.0,28.77,46.82
1636792528.0,28.77,47.26
1636792533.0,28.78,47.49
1636792538.0,28.80,47.55
1636792543.0,28.81,47.57
1636792548.0,28.81,47.59
1636792553.0,28.83,47.68
1636792558.0,28.85,47.75
1636792563.0,28.87,47.64
1636795804.0,29.70,43.11
1636795809.0,29.73,43.10
1636795814.0,29.75,43.05
1636795819.0,29.73,42.94
1636795824.0,29.66,42.73
1636795829.0,29.59,42.88
1636795834.0,29.56,43.36
1636795839.0,29.57,43.88
1636795844.0,29.58,43.89
1636795849.0,29.60,43.81
1636799406.0,30.41,42.05
1636799411.0,30.38,42.07
1636799416.0,30.38,42.15
1636799421.0,30.38,42.34
1636799426.0,30.39,42.39
1636799431.0,30.39,42.42
1636799436.0,30.38,42.50
1636799441.0,30.36,42.61
1636799446.0,30.34,42.84
1636799451.0,30.34,42.91
1636803004.0,31.86,38.45
1636803009.0,31.87,38.90
1636803014.0,31.91,39.16
1636803019.0,31.95,39.16
1636803024.0,31.95,39.01
1636803029.0,31.96,39.12
1636803034.0,31.95,38.98
1636803039.0,31.90,38.80
1636803045.0,31.88,38.62
1636803050.0,31.88,38.49
1636805869.0,30.39,38.24
1636805874.0,30.31,38.47
1636805879.0,30.26,38.67
1636805884.0,30.19,38.77
1636805889.0,30.17,38.92
1636805894.0,30.17,39.04
1636805899.0,30.15,39.29
1636805904.0,30.19,39.44
1636805909.0,30.16,39.55
1636805914.0,30.13,39.61
1636806231.0,30.44,38.98
1636806236.0,30.46,39.02
1636806241.0,30.46,38.97
1636806246.0,30.38,38.98
1636806251.0,30.37,39.07
1636806256.0,30.39,39.11
1636806261.0,30.39,39.28
1636806267.0,30.08,39.43
